id,math,english,ukrainian,privileged,rating,admitted
1,164,170,116,1,151.4,0
2,152,143,137,0,144.8,0
3,167,138,146,0,152.0,0
4,185,154,192,1,177.79999999999998,1
5,150,151,166,1,155.1,0
6,150,145,128,0,141.9,0
7,186,168,164,0,174.0,1
8,170,174,124,0,157.39999999999998,0
9,145,156,176,0,157.6,0
10,165,184,145,0,164.7,1
11,145,132,153,0,143.5,0
12,145,151,181,0,157.6,0
13,159,140,129,0,144.29999999999998,0
14,116,117,127,1,119.6,0
15,120,153,143,0,136.8,0
16,143,152,175,0,155.3,0
17,134,185,124,0,146.29999999999998,0
18,161,167,100,0,144.5,0
19,136,134,145,0,138.1,0
20,126,192,166,0,157.8,0
21,184,179,179,0,181.0,1
22,150,166,145,0,153.3,0
23,156,150,146,0,151.2,0
24,126,135,178,0,144.3,0
25,144,147,117,0,136.8,0
26,157,176,147,0,159.7,0
27,131,192,158,0,157.4,0
28,162,185,163,1,169.2,1
29,142,145,144,0,143.5,0
30,149,132,155,1,145.7,0
31,142,157,105,0,135.4,0
32,192,119,141,0,154.8,0
33,154,161,164,0,159.1,0
34,197,194,105,0,168.5,0
35,171,145,156,0,158.7,0
36,130,123,163,0,137.8,0
37,159,165,148,0,157.5,0
38,115,144,158,0,136.6,0
39,128,131,135,0,131.0,0
40,158,100,150,0,138.2,0
41,169,154,167,0,163.9,1
42,158,190,158,0,167.6,1
43,152,188,143,0,160.1,0
44,148,145,159,0,150.4,0
45,125,142,169,0,143.29999999999998,0
46,140,164,114,0,139.39999999999998,0
47,145,135,178,0,151.9,0
48,176,161,148,0,163.1,1
49,161,170,163,0,164.3,1
50,119,179,178,0,154.7,0
51,161,152,127,0,148.1,0
52,147,150,140,0,145.8,0
53,141,137,149,0,142.2,0
54,167,138,139,0,149.89999999999998,0
55,175,150,189,0,171.7,1
56,173,162,137,0,158.9,0
57,138,173,143,0,150.0,0
58,104,114,107,0,107.9,0
59,161,184,130,0,158.6,0
60,174,149,147,0,158.4,0
61,145,154,161,0,152.5,0
62,151,140,148,0,146.8,0
63,132,106,153,0,130.5,0
64,131,172,144,0,147.2,0
65,171,169,124,0,156.29999999999998,0
66,182,149,161,0,165.8,1
67,153,156,190,0,165.0,1
68,175,165,155,0,166.0,1
69,162,123,159,0,149.39999999999998,0
70,142,144,168,0,150.4,0
71,162,170,129,0,154.5,0
72,185,129,189,1,169.39999999999998,1
73,154,160,159,1,157.29999999999998,0
74,186,127,187,0,168.6,1
75,102,164,140,0,132.0,0
76,171,154,191,0,171.89999999999998,1
77,156,122,170,0,150.0,0
78,149,178,166,0,162.8,1
79,100,106,102,0,102.39999999999999,0
80,115,138,150,0,132.4,0
81,150,159,179,0,161.39999999999998,0
82,162,177,157,0,165.0,1
