id,math,english,ukrainian,privileged,rating,admitted
1,133,119,145,0,132.4,0
2,174,130,176,0,161.4,0
3,160,176,147,0,160.9,0
4,124,172,147,0,145.3,0
5,143,124,141,0,136.7,0
6,188,146,157,1,166.1,0
7,106,164,154,1,137.79999999999998,0
8,146,162,158,0,154.4,0
9,180,122,157,0,155.7,0
10,137,160,123,1,139.70000000000002,0
11,141,142,167,0,149.1,0
12,153,178,127,0,152.7,0
13,184,150,148,0,163.0,0
14,142,162,180,0,159.4,0
15,146,152,166,0,153.8,0
16,146,168,185,0,164.3,0
17,199,139,145,0,164.8,0
18,198,168,143,0,172.5,1
19,175,179,178,0,177.1,1
20,162,191,158,1,169.5,1
21,169,186,196,0,182.2,1
22,184,144,136,1,157.60000000000002,0
23,136,166,169,0,154.9,0
24,178,171,167,0,172.6,1
25,129,166,178,0,154.8,0
26,142,170,167,0,157.9,0
27,173,163,169,0,168.79999999999998,1
28,126,144,158,1,141.0,0
29,152,159,174,0,160.7,0
30,137,171,145,0,149.6,0
31,101,101,107,0,102.80000000000001,0
32,100,133,192,0,137.5,0
33,119,137,141,0,131.0,0
34,141,146,169,0,150.9,0
35,173,150,163,0,163.1,0
36,151,158,136,0,148.60000000000002,0
37,155,135,157,0,149.6,0
38,168,170,173,1,170.1,1
39,137,117,170,0,140.9,0
40,160,165,137,0,154.6,0
41,138,165,160,0,152.7,0
42,120,167,164,1,147.29999999999998,0
43,147,100,173,0,140.70000000000002,0
44,166,128,156,0,151.60000000000002,0
45,161,147,143,0,151.4,0
46,154,158,177,0,162.1,0
47,200,153,133,0,165.8,1
48,163,138,142,0,149.2,0
49,174,180,170,0,174.60000000000002,1
50,199,161,161,0,176.2,1
51,129,147,158,0,143.1,0
52,134,135,138,1,135.5,0
53,189,156,173,0,174.3,1
54,139,180,166,0,159.39999999999998,0
55,155,155,194,0,166.7,1
56,101,105,108,0,104.30000000000001,0
57,172,156,127,0,153.7,0
58,190,157,157,0,170.2,1
59,184,150,153,0,164.5,0
60,176,135,151,1,156.2,0
61,139,185,151,0,156.39999999999998,0
62,170,167,158,0,165.5,1
63,161,197,140,0,165.5,1
64,128,164,123,0,137.3,0
65,183,150,163,0,167.1,1
66,171,136,176,0,162.0,0
67,155,148,164,0,155.6,0
68,150,131,160,0,147.3,0
69,131,196,139,0,152.9,0
70,158,154,172,0,161.0,0
71,164,170,115,0,151.10000000000002,0
72,138,174,195,0,165.9,0
73,178,176,143,0,166.9,1
74,133,200,169,0,163.9,0
75,112,153,145,0,134.2,0
76,175,151,157,0,162.4,0
77,146,158,148,0,150.20000000000002,0
78,152,169,114,0,145.7,0
79,138,158,167,0,152.7,0
80,122,149,133,0,133.4,0
81,180,140,132,0,153.6,0
82,198,111,188,0,168.9,0
83,188,160,149,0,167.9,1
84,171,135,162,0,157.5,0
85,200,100,200,0,170.0,0
86,133,157,200,0,160.3,0
87,140,178,124,0,146.6,0
88,130,168,148,0,146.8,0
89,196,154,164,0,173.79999999999998,1
90,158,163,176,0,164.89999999999998,1
91,178,122,167,0,157.9,0
92,129,141,171,0,145.2,0
93,158,188,141,0,161.89999999999998,0
94,180,112,185,0,161.1,0
95,148,140,181,1,155.5,0
96,175,190,164,0,176.2,1
97,133,140,200,0,155.2,0
98,127,138,153,0,138.1,0
99,162,185,148,0,164.7,0
100,147,181,120,0,149.1,0
101,167,143,146,0,153.5,0
102,111,196,179,0,156.9,0
103,169,148,172,0,163.6,0
104,200,165,182,0,184.1,1
105,100,195,175,0,151.0,0
106,155,165,143,0,154.4,0
107,158,152,128,0,147.20000000000002,0
108,200,200,100,0,170.0,0
109,163,170,134,0,156.4,0
110,122,130,151,0,133.10000000000002,0
111,146,151,127,0,141.8,0
112,179,174,147,0,167.9,1
113,140,171,142,0,149.9,0
114,165,171,175,0,169.8,1
115,175,168,131,0,159.7,0
116,160,157,121,1,147.39999999999998,0
117,127,161,170,1,150.1,0
118,148,156,185,0,161.5,0
119,194,164,170,0,177.8,1
120,114,165,152,0,140.7,0
121,149,157,137,0,147.8,0
122,143,165,150,0,151.7,0
123,157,141,147,0,149.2,0
124,169,148,130,0,151.0,0
125,187,159,155,0,169.0,1
126,149,193,180,1,171.5,1
127,171,165,172,0,169.5,1
128,164,152,162,0,159.8,0
129,164,150,153,0,156.5,0
130,143,169,135,0,148.4,0
131,135,153,176,0,152.7,0
132,132,167,126,0,140.7,0
133,139,165,112,0,138.7,0
134,161,130,153,0,149.3,0
135,170,164,146,0,161.0,0
136,161,164,147,0,157.7,0
137,144,170,169,1,159.29999999999998,0
138,191,138,165,0,167.3,1
139,190,183,109,1,163.6,0
140,147,151,176,1,156.89999999999998,0
141,138,194,129,0,152.1,0
142,157,190,189,0,176.5,1
143,180,142,137,0,155.7,0
144,161,127,161,0,150.8,0
145,166,168,192,0,174.4,1
146,194,198,109,0,169.7,0
147,164,177,183,0,173.60000000000002,1
148,185,165,154,0,169.7,1
149,150,125,125,0,135.0,0
150,157,170,133,1,153.70000000000002,0
151,160,157,148,0,155.5,0
152,160,163,141,0,155.2,0
153,100,200,200,0,160.0,0
154,117,152,150,0,137.4,0
155,134,170,142,0,147.2,0
156,158,143,144,0,149.29999999999998,0
157,166,143,156,0,156.10000000000002,0
158,144,150,135,0,143.1,0
159,182,142,169,0,166.1,1
160,152,166,173,0,162.5,0
161,155,128,145,0,143.9,0
162,151,171,155,0,158.2,0
163,200,100,200,1,170.0,0
164,169,162,171,1,167.5,1
165,168,131,187,0,162.6,0
166,137,164,170,0,155.0,0
167,185,176,175,0,179.3,1
168,133,155,143,0,142.6,0
169,156,185,154,0,164.1,0
170,149,152,139,0,146.9,0
171,134,163,156,0,149.3,0
172,153,136,165,0,151.5,0
173,140,163,159,0,152.6,0
174,156,143,125,0,142.8,0
175,163,140,139,0,148.9,0
176,184,186,131,0,168.7,1
177,161,129,161,0,151.39999999999998,0
178,142,152,147,0,146.5,0
179,147,169,160,0,157.5,0
180,157,159,113,0,144.4,0
181,156,118,156,0,144.60000000000002,0
182,184,167,134,0,163.9,0
183,182,127,169,0,161.6,0
184,147,146,170,1,153.6,0
185,112,103,100,0,105.7,0
186,103,100,173,0,123.1,0
187,144,152,171,0,154.5,0
188,135,168,144,0,147.6,0
189,147,151,126,0,141.89999999999998,0
190,162,158,169,0,162.89999999999998,0
191,158,200,161,0,171.5,1
192,154,177,109,0,147.4,0
193,158,156,120,0,146.0,0
194,152,200,129,0,159.5,0
195,158,142,153,0,151.70000000000002,0
196,100,165,127,0,127.6,0
197,149,123,168,0,146.9,0
198,152,162,144,0,152.6,0
199,148,152,185,0,160.3,0
200,150,156,163,0,155.7,0
201,169,162,152,0,161.8,0
202,143,160,163,0,154.1,0
203,199,133,136,0,160.3,0
204,168,147,183,0,166.20000000000002,1
205,154,155,176,0,160.89999999999998,0
206,150,126,159,0,145.5,0
207,153,171,193,0,170.4,1
208,136,192,125,0,149.5,0
209,153,161,171,0,160.8,0
210,160,144,179,0,160.89999999999998,0
211,166,108,164,0,148.0,0
212,166,124,151,0,148.89999999999998,0
213,149,161,113,0,141.8,0
214,126,180,176,0,157.2,0
215,141,150,146,0,145.2,0
216,187,125,153,0,158.2,0
217,172,137,174,1,162.1,0
218,162,143,174,1,159.89999999999998,0
219,139,116,131,0,129.7,0
220,155,148,135,0,146.9,0
221,129,172,140,0,145.2,0
222,143,121,168,1,143.9,0
223,200,100,200,0,170.0,0
224,147,114,165,0,142.5,0
225,174,138,146,0,154.8,0
226,126,152,152,0,141.6,0
227,106,114,106,0,108.39999999999999,0
228,127,164,132,1,139.6,0
229,130,131,170,0,142.3,0
230,157,156,152,0,155.2,0
231,122,148,164,0,142.4,0
232,170,154,155,0,160.7,0
233,150,151,175,0,157.8,0
234,156,161,165,0,160.2,0
235,161,158,156,0,158.60000000000002,0
236,146,172,200,0,170.0,1
237,175,157,180,0,171.1,1
238,151,188,160,0,164.8,0
239,166,165,170,0,166.9,1
240,151,184,157,0,162.7,0
241,160,169,141,0,157.0,0
242,160,141,120,1,142.3,0
243,159,179,196,0,176.1,1
244,135,178,146,0,151.2,0
245,163,100,166,1,145.0,0
246,148,144,180,0,156.4,0
247,167,183,146,0,165.5,1
248,111,176,149,0,141.9,0
249,125,125,165,1,137.0,0
250,162,172,165,0,165.9,1
251,192,189,155,0,180.0,1
252,171,167,133,0,158.4,0
253,141,125,180,0,147.9,0
254,200,100,200,1,170.0,0
255,169,163,158,0,163.9,0
256,153,150,171,0,157.5,0
257,196,191,112,0,169.29999999999998,0
258,157,169,156,0,160.3,0
259,155,194,146,0,164.0,0
260,200,175,115,1,167.0,0
261,154,166,165,0,160.9,0
262,151,148,135,0,145.3,0
263,152,183,183,1,170.6,1
264,143,155,152,0,149.3,0
265,174,134,168,0,160.20000000000002,0
266,147,155,143,0,148.20000000000002,0
267,167,153,171,1,164.0,0
268,160,135,183,0,159.4,0
269,179,171,123,0,159.8,0
270,163,152,167,0,160.9,0
271,130,162,122,0,137.2,0
272,128,139,152,0,138.5,0
273,183,151,160,0,166.5,1
274,142,170,133,0,147.70000000000002,0
275,113,109,103,1,108.80000000000001,0
276,141,147,184,0,155.7,0
277,180,198,172,0,183.0,1
278,126,161,175,0,151.2,0
279,137,169,187,0,161.6,0
280,141,169,148,0,151.5,0
281,129,156,175,0,150.9,0
282,131,165,142,0,144.5,0
283,124,135,179,0,143.79999999999998,0
284,145,183,132,0,152.5,0
285,147,179,138,0,153.9,0
286,141,158,189,0,160.5,0
287,121,155,167,0,145.0,0
288,180,130,161,0,159.3,0
289,128,175,151,0,149.0,0
290,160,149,147,1,152.79999999999998,0
291,133,167,153,0,149.20000000000002,0
292,168,126,153,0,150.9,0
293,174,167,168,0,170.10000000000002,1
294,137,151,189,0,156.79999999999998,0
295,116,155,138,0,134.3,0
296,200,200,200,0,200.0,1
297,192,168,171,0,178.5,1
298,163,142,149,0,152.5,0
299,158,154,171,0,160.7,0
300,171,171,127,0,157.8,0
301,170,153,200,0,173.9,1
302,138,194,161,0,161.7,0
303,141,137,154,0,143.7,0
304,167,159,140,0,156.5,0
305,152,163,149,1,154.4,0
306,200,184,111,0,168.5,0
307,140,156,200,0,162.8,0
308,170,151,129,0,152.0,0
309,161,159,153,0,158.0,0
310,152,164,132,0,149.6,0
311,178,182,130,1,164.8,0
312,168,160,156,0,162.0,0
313,134,165,144,0,146.29999999999998,0
314,167,184,161,0,170.3,1
315,182,123,168,0,160.1,0
316,152,149,129,0,144.2,0
317,150,155,144,0,149.7,0
318,141,123,149,0,138.0,0
319,154,156,111,1,141.7,0
320,168,107,149,0,144.0,0
321,138,169,129,0,144.6,0
322,128,125,150,0,133.7,0
323,147,129,154,0,143.7,0
324,127,165,117,0,135.4,0
325,165,121,132,0,141.9,0
326,146,196,162,0,165.8,1
327,119,157,172,0,146.3,0
328,148,153,192,0,162.7,0
329,151,179,162,1,162.7,0
330,163,153,141,1,153.39999999999998,0
331,152,159,136,0,149.3,0
332,192,151,129,0,160.8,0
333,144,144,175,0,153.3,0
334,153,162,127,0,147.9,0
335,152,165,139,0,152.0,0
336,149,129,152,0,143.9,0
337,157,137,180,0,157.9,0
338,165,141,167,0,158.4,0
339,181,154,152,0,164.2,0
340,123,161,167,0,147.6,0
341,144,198,193,0,174.9,1
342,146,160,148,0,150.8,0
343,173,151,177,1,167.6,1
344,147,140,167,0,150.9,0
345,117,174,179,0,152.7,0
346,156,154,157,0,155.7,0
347,154,161,141,1,152.2,0
348,158,154,134,0,149.6,0
349,134,166,151,0,148.7,0
350,189,164,134,0,165.0,1
351,148,162,126,0,145.60000000000002,0
352,151,155,200,0,166.9,1
353,136,156,136,1,142.0,0
354,136,162,145,0,146.5,0
355,130,116,157,0,133.9,0
356,147,154,191,0,162.3,0
357,135,174,168,0,156.6,0
358,196,145,182,0,176.5,1
359,117,113,158,0,128.1,0
360,132,127,155,0,137.4,0
361,146,156,159,0,152.9,0
362,168,140,179,1,162.9,0
363,146,157,137,0,146.6,0
364,168,154,143,0,156.3,0
365,135,145,173,1,149.4,0
366,156,136,183,0,158.1,0
367,189,158,125,0,160.5,0
368,135,156,145,1,144.3,0
369,163,152,164,0,160.0,0
370,159,172,167,0,165.3,1
371,109,159,178,0,144.7,0
372,143,143,183,0,155.0,0
373,177,147,146,0,158.7,0
374,157,153,177,0,161.8,0
375,130,157,137,0,140.2,0
376,168,181,176,0,174.3,1
377,145,188,151,0,159.7,0
378,162,145,163,0,157.2,0
379,162,134,170,0,156.0,0
380,132,144,172,0,147.6,0
381,170,163,162,0,165.5,1
382,134,171,161,0,153.2,0
383,128,146,129,0,133.7,0
384,137,136,164,0,144.79999999999998,0
385,200,200,100,0,170.0,0
386,185,111,185,0,162.8,0
387,139,175,163,1,157.0,0
388,100,200,200,0,160.0,0
389,160,161,174,0,164.5,0
390,123,192,182,0,161.4,0
391,172,152,151,0,159.7,0
392,178,169,140,0,163.9,0
393,153,184,156,0,163.2,0
394,150,161,108,0,140.7,0
395,119,150,152,1,138.2,0
396,146,126,142,1,138.8,0
397,149,159,151,0,152.6,0
398,159,167,124,1,150.9,0
399,151,175,146,0,156.7,0
400,159,159,184,1,166.5,0
401,185,135,158,0,161.9,0
402,144,166,132,1,147.0,0
403,145,188,145,0,157.9,0
404,128,149,157,0,143.0,0
405,154,138,109,0,135.7,0
406,174,148,200,0,174.0,1
407,119,154,160,0,141.8,0
408,141,144,160,0,147.6,0
409,155,169,170,0,163.7,0
410,172,163,166,1,167.5,1
411,162,148,183,0,164.1,0
412,161,154,189,0,167.29999999999998,1
413,150,124,138,0,138.6,0
414,164,161,116,0,148.7,0
415,175,127,121,0,144.39999999999998,0
416,120,149,199,0,152.39999999999998,0
417,169,145,133,0,151.0,0
418,153,164,185,0,165.9,1
419,144,146,133,0,141.3,0
420,106,154,180,0,142.6,0
421,127,184,180,1,160.0,0
422,188,123,159,1,159.79999999999998,0
423,141,157,142,0,146.1,0
424,133,172,178,0,158.20000000000002,0
425,145,142,143,0,143.5,0
426,200,100,200,0,170.0,0
427,157,127,143,1,143.8,0
428,185,122,182,0,165.2,1
429,100,200,200,1,160.0,0
430,158,148,140,0,149.6,0
431,132,128,169,0,141.9,0
432,185,145,155,0,164.0,0
433,158,167,167,0,163.4,0
434,133,166,200,1,163.0,0
435,173,175,136,0,162.5,0
436,178,144,148,0,158.8,0
437,158,142,157,0,152.9,0
438,122,161,133,0,137.0,0
439,190,175,121,0,164.8,1
440,161,147,136,0,149.3,0
441,178,174,169,0,174.1,1
442,143,148,140,0,143.6,0
443,147,195,140,0,159.3,0
444,157,120,164,0,148.0,0
445,177,185,134,0,166.5,1
446,157,125,173,0,152.20000000000002,0
447,129,179,193,0,163.2,0
448,160,156,160,0,158.8,0
449,187,145,163,0,167.2,1
450,156,136,140,0,145.2,0
451,157,136,160,0,151.6,0
452,129,168,164,0,151.2,0
453,126,164,129,0,138.29999999999998,0
454,190,196,109,0,167.5,0
455,148,154,138,1,146.8,0
456,157,137,159,0,151.6,0
457,158,152,144,0,152.0,0
458,187,172,158,1,173.8,1
459,156,136,145,0,146.7,0
460,176,165,176,0,172.7,1
461,154,145,151,1,150.39999999999998,0
462,183,124,134,0,150.6,0
463,117,176,187,0,155.7,0
464,143,127,196,0,154.10000000000002,0
465,174,145,170,0,164.10000000000002,0
466,151,176,164,1,162.4,0
467,173,139,154,1,157.1,0
468,200,200,100,0,170.0,0
469,173,146,133,0,152.9,0
470,167,153,131,0,152.0,0
471,168,192,166,0,174.6,1
472,184,177,131,0,166.0,1
473,174,156,191,1,173.7,1
474,174,141,139,0,153.6,0
475,155,155,165,0,158.0,0
476,143,187,130,0,152.3,0
477,141,198,154,0,162.0,0
478,170,142,163,0,159.5,0
479,106,183,146,1,141.10000000000002,0
480,128,123,142,0,130.7,0
481,135,166,149,0,148.5,0
482,150,162,181,0,162.89999999999998,0
483,102,175,175,0,145.8,0
484,180,138,177,0,166.5,1
485,167,157,175,0,166.4,1
486,194,117,185,0,168.20000000000002,0
487,176,142,171,1,164.3,0
488,175,154,109,0,148.89999999999998,0
489,200,158,167,0,177.5,1
490,143,200,164,0,166.4,1
491,124,144,150,1,137.8,0
492,150,155,125,0,144.0,0
493,138,131,141,0,136.8,0
494,100,200,200,0,160.0,0
495,133,172,172,0,156.4,0
496,166,173,169,0,169.0,1
497,165,127,131,0,143.39999999999998,0
498,154,121,167,0,148.0,0
499,161,142,116,0,141.8,0
500,152,188,146,1,161.0,0
501,170,125,154,0,151.7,0
502,156,168,169,0,163.5,0
503,149,157,149,0,151.4,0
504,173,148,166,0,163.39999999999998,0
505,180,142,160,0,162.6,0
506,181,159,164,0,169.29999999999998,1
507,135,148,168,0,148.8,0
508,144,147,149,0,146.4,0
