id,math,english,ukrainian,privileged,rating,admitted
1,164,141,137,0,149.0,0
2,152,152,154,0,152.6,0
3,167,139,155,1,155.0,0
4,185,148,164,0,167.6,1
5,200,200,100,0,170.0,0
6,150,159,166,0,157.5,0
7,186,155,100,0,150.9,0
8,170,138,142,0,152.0,0
9,145,168,145,1,151.9,0
10,165,173,167,0,168.0,1
11,145,122,155,0,141.1,0
12,145,139,126,0,137.5,0
13,159,139,135,0,145.8,0
14,116,136,158,0,134.6,0
15,120,171,153,0,145.2,0
16,143,151,143,0,145.4,0
17,185,112,199,1,167.29999999999998,0
18,161,114,168,0,149.0,0
19,108,114,108,0,109.80000000000001,0
20,126,130,153,0,135.3,0
21,184,156,198,0,179.8,1
22,150,160,126,0,145.8,0
23,156,182,117,0,152.1,0
24,126,128,170,0,139.8,0
25,144,100,141,0,129.89999999999998,0
26,157,158,148,0,154.6,0
27,131,191,139,0,151.4,0
28,162,179,149,0,163.2,0
29,142,159,186,0,160.3,0
30,149,145,171,0,154.39999999999998,0
31,142,171,172,0,159.7,0
32,192,135,126,0,155.10000000000002,0
33,154,164,131,0,150.1,0
34,133,165,100,1,132.7,0
35,171,176,138,0,162.6,0
36,130,200,174,0,164.2,0
37,159,162,165,0,161.7,0
38,115,144,150,1,134.2,0
39,128,154,154,0,143.6,0
40,158,119,141,0,141.2,0
41,169,141,159,0,157.6,0
42,158,146,170,0,158.0,0
43,152,144,122,0,140.6,0
44,148,158,160,0,154.6,0
45,125,138,173,0,143.3,0
46,140,177,146,0,152.89999999999998,0
47,145,155,169,0,155.2,0
48,176,154,200,0,176.6,1
49,161,148,152,0,154.4,0
50,119,158,162,0,143.6,0
51,161,171,140,0,157.7,0
52,147,137,158,0,147.3,0
53,141,141,164,0,147.9,0
54,167,148,158,0,158.6,0
55,100,200,200,0,160.0,0
56,173,138,159,0,158.29999999999998,0
57,138,145,184,0,153.9,0
58,148,172,163,0,159.70000000000002,0
59,161,160,174,0,164.6,0
60,174,158,150,0,162.0,0
61,145,172,169,0,160.29999999999998,0
62,151,152,160,0,154.0,0
63,132,162,135,0,141.9,0
64,131,152,161,0,146.3,0
65,171,160,135,0,156.9,0
66,182,143,142,0,158.29999999999998,0
67,153,106,158,0,140.4,0
68,175,152,160,0,163.6,0
69,162,183,131,0,159.0,0
70,142,173,176,0,161.5,0
71,162,174,166,0,166.8,1
72,185,179,140,0,169.7,1
73,193,183,103,0,163.0,0
74,186,158,152,0,167.4,1
75,102,142,146,1,127.2,0
76,171,148,157,0,159.9,0
77,156,167,147,0,156.6,0
78,149,179,114,0,147.5,0
79,156,152,147,1,152.1,0
80,115,145,148,0,133.9,0
81,150,155,167,0,156.6,0
82,162,167,141,0,157.2,0
83,184,126,188,1,167.8,1
84,144,109,116,0,125.1,0
85,138,143,181,0,152.39999999999998,0
86,144,130,150,0,141.6,0
87,173,144,172,0,164.0,0
88,123,197,199,0,168.0,0
89,200,100,200,0,170.0,0
90,165,184,147,0,165.29999999999998,1
91,156,161,133,0,150.6,0
92,174,161,183,0,172.8,1
93,140,167,152,0,151.7,0
94,148,132,159,0,146.5,0
95,147,175,179,0,165.0,1
96,125,153,134,0,136.1,0
97,160,168,166,0,164.2,0
98,160,133,143,0,146.8,0
99,155,123,152,0,144.5,0
100,150,171,156,1,158.1,0
101,126,162,124,0,136.2,0
102,146,136,139,0,140.9,0
103,148,137,182,0,154.9,0
104,138,177,172,0,159.9,0
105,151,131,153,0,145.6,0
106,163,187,159,0,169.0,1
107,192,136,149,0,162.3,0
108,158,167,182,0,167.9,1
109,160,148,150,0,153.4,0
110,153,167,159,0,159.0,0
111,116,144,177,0,142.7,0
112,154,151,139,0,148.6,0
113,156,155,186,1,164.7,0
114,200,134,124,1,157.39999999999998,0
115,151,169,187,0,167.2,1
116,161,144,147,0,151.7,0
117,154,150,150,0,151.6,0
118,131,135,117,1,128.0,0
119,177,103,145,0,145.2,0
120,170,151,134,0,153.5,0
121,170,200,142,0,170.6,1
122,136,170,152,0,151.0,0
123,183,154,174,0,171.6,1
124,126,149,159,1,142.79999999999998,0
125,166,155,161,0,161.2,0
126,198,165,133,1,168.6,1
127,195,197,111,0,170.39999999999998,0
128,143,177,190,0,167.3,1
129,156,169,140,1,155.1,0
130,144,169,188,0,164.7,0
131,123,163,150,0,143.1,0
132,156,155,155,0,155.4,0
133,133,168,176,0,156.39999999999998,0
134,164,166,180,0,169.4,1
135,136,147,152,0,144.1,0
136,185,143,147,1,161.0,0
137,139,157,153,0,148.6,0
138,148,185,161,0,163.0,0
139,171,130,172,0,159.0,0
140,130,125,155,0,136.0,0
141,159,158,167,0,161.1,0
142,181,156,187,0,175.3,1
143,122,158,162,0,144.8,0
144,158,159,161,0,159.2,0
145,160,150,124,0,146.2,0
146,170,184,102,0,153.79999999999998,0
147,130,122,162,0,137.2,0
148,128,138,153,0,138.5,0
149,165,152,144,0,154.79999999999998,0
150,200,100,200,0,170.0,0
151,160,151,153,0,155.2,0
152,161,188,177,0,173.9,1
153,141,155,156,1,149.7,0
154,159,159,140,0,153.3,0
155,160,129,174,0,154.89999999999998,0
156,140,142,150,0,143.6,0
157,192,147,165,0,170.4,1
158,164,148,145,0,153.5,0
159,131,180,142,0,149.0,0
160,168,166,156,0,163.8,0
161,135,132,155,1,140.1,0
162,170,159,164,0,164.89999999999998,0
163,178,164,149,0,165.1,1
164,138,177,118,0,143.70000000000002,0
165,174,186,146,0,169.2,1
166,163,134,170,0,156.4,0
167,200,200,100,0,170.0,0
168,192,129,150,1,160.5,0
169,150,150,174,0,157.2,0
170,139,164,140,0,146.8,0
171,137,174,124,0,144.2,0
172,138,153,151,0,146.39999999999998,0
173,153,148,145,1,149.1,0
174,161,158,135,0,152.3,0
175,160,138,151,0,150.7,0
176,171,196,164,0,176.4,1
177,155,122,154,0,144.79999999999998,0
178,184,158,161,0,169.3,1
179,149,195,191,0,175.39999999999998,1
180,200,155,148,0,170.9,1
181,167,151,160,0,160.1,0
182,137,147,144,1,142.1,0
183,133,151,138,1,139.9,0
184,164,182,143,1,163.10000000000002,0
185,150,110,145,0,136.5,0
186,169,185,162,0,171.70000000000002,1
187,123,200,176,0,162.0,0
188,153,149,140,0,147.9,0
189,138,146,146,1,142.8,0
190,124,166,153,0,145.3,0
191,146,123,162,0,143.9,0
192,172,164,160,0,166.0,1
193,159,195,180,0,176.1,1
194,130,127,106,0,121.89999999999999,0
195,158,158,107,0,142.7,0
196,162,141,145,0,150.6,0
197,137,163,176,0,156.5,0
198,158,155,123,1,146.6,0
199,156,142,100,0,135.0,0
200,132,164,166,0,151.8,0
201,162,191,159,1,169.79999999999998,1
202,166,151,133,0,151.6,0
203,176,169,135,1,161.6,0
204,176,129,135,0,149.6,0
205,127,135,157,0,138.4,0
206,136,164,142,1,146.2,0
207,165,184,164,0,170.39999999999998,1
208,165,162,100,0,144.6,0
209,165,148,137,1,151.5,0
210,200,154,132,0,165.79999999999998,1
211,166,129,149,0,149.79999999999998,0
212,177,167,144,0,164.1,0
213,174,172,170,0,172.20000000000002,1
214,168,145,117,0,145.8,0
215,148,145,155,0,149.2,0
216,170,160,166,1,165.8,0
217,139,146,192,0,157.0,0
218,150,153,145,0,149.4,0
219,145,196,161,1,165.1,0
220,156,150,118,0,142.8,0
221,200,147,107,0,156.2,0
222,117,142,171,0,140.7,0
223,168,169,154,0,164.1,0
224,122,151,178,0,147.5,0
225,145,142,127,0,138.7,0
226,176,181,165,0,174.2,1
227,156,183,192,0,174.9,1
228,133,142,163,0,144.70000000000002,0
229,140,117,160,0,139.1,0
230,168,175,155,1,166.2,1
231,140,141,123,0,135.2,0
232,159,170,182,0,169.2,1
233,155,115,142,0,139.1,0
234,141,172,165,0,157.5,0
235,197,130,123,0,154.70000000000002,0
236,167,169,131,0,156.8,0
237,114,155,183,0,147.0,0
238,158,135,148,0,148.1,0
239,141,146,184,1,155.4,0
240,172,168,153,0,165.1,1
241,139,157,118,1,138.1,0
242,152,166,172,0,162.2,0
243,165,194,143,0,167.1,1
244,172,123,168,0,156.1,0
245,130,187,155,0,154.6,0
246,148,157,124,0,143.5,0
247,145,137,158,0,146.5,0
248,141,128,198,1,154.20000000000002,0
249,190,151,164,0,170.5,1
250,163,173,153,0,163.0,0
251,129,152,176,1,150.0,0
252,173,185,159,0,172.4,1
253,197,125,159,0,164.0,0
254,175,154,133,0,156.1,0
255,124,129,159,0,136.0,0
256,145,162,175,0,159.1,0
257,180,172,138,0,165.0,1
258,140,146,183,0,154.7,0
259,163,102,153,0,141.7,0
260,170,158,137,0,156.5,0
261,136,163,174,0,155.5,0
262,153,163,149,0,154.79999999999998,0
263,100,179,170,1,144.7,0
264,134,133,149,0,138.2,0
265,149,168,153,0,155.9,0
266,200,200,200,0,200.0,1
267,187,119,160,0,158.5,0
268,126,161,115,0,133.2,0
269,146,144,132,0,141.2,0
270,157,153,173,0,160.6,0
271,183,161,152,0,167.1,1
272,126,145,144,0,137.1,0
273,178,141,127,0,151.6,0
274,155,155,133,1,148.4,0
275,135,133,114,0,128.1,0
276,164,133,152,0,151.1,0
277,158,168,143,0,156.5,0
278,142,132,135,0,136.9,0
279,156,168,153,0,158.70000000000002,0
280,147,164,162,0,156.6,0
281,157,120,196,0,157.60000000000002,0
282,168,141,124,0,146.7,0
283,186,178,178,1,181.20000000000002,1
284,130,135,174,0,144.7,0
285,197,145,139,1,164.0,0
286,115,164,159,0,142.89999999999998,0
287,151,170,145,0,154.9,0
288,166,149,158,0,158.5,0
289,160,143,185,1,162.4,0
290,142,183,167,0,161.8,0
291,150,189,165,0,166.2,1
292,145,174,146,0,154.0,0
293,200,200,200,0,200.0,1
294,171,138,150,1,154.8,0
295,162,138,179,1,159.89999999999998,0
296,141,165,124,0,143.1,0
297,172,163,133,0,157.6,0
298,161,183,157,0,166.4,1
299,171,168,135,0,159.3,0
300,167,124,139,0,145.7,0
301,138,176,146,1,151.8,0
302,143,135,127,0,135.8,0
303,169,147,135,0,152.20000000000002,0
304,167,160,169,0,165.5,1
305,198,106,190,1,168.0,0
306,157,200,123,0,159.70000000000002,0
307,180,167,142,0,164.7,0
308,143,151,169,0,153.2,0
309,165,165,151,0,160.8,0
310,150,172,145,1,155.1,0
311,150,148,155,0,150.9,0
312,176,190,120,1,163.4,0
313,171,159,164,0,165.29999999999998,1
314,171,164,162,0,166.2,1
315,181,168,146,1,166.60000000000002,1
316,155,163,175,1,163.4,0
317,168,171,132,0,158.1,0
318,148,142,177,0,154.9,0
319,161,143,158,0,154.70000000000002,0
320,152,132,148,0,144.8,0
321,156,163,154,0,157.5,0
322,166,170,152,0,163.0,0
323,138,164,179,0,158.1,0
324,196,188,133,0,174.70000000000002,1
325,134,154,139,0,141.5,0
326,130,168,175,1,154.9,0
327,178,133,143,0,154.0,0
328,170,147,173,0,164.0,0
329,167,168,188,0,173.6,1
330,167,171,146,0,161.89999999999998,0
331,154,149,168,0,156.7,0
332,137,153,131,0,140.0,0
333,156,124,170,0,150.6,0
334,141,147,158,0,147.9,0
335,174,172,164,0,170.4,1
336,152,166,142,0,153.2,0
337,138,165,121,0,141.0,0
338,148,155,165,1,155.2,0
339,163,155,113,0,145.6,0
340,143,141,148,1,143.9,0
341,138,168,173,0,157.5,0
342,159,163,158,0,159.9,0
343,159,164,193,0,170.7,1
344,144,144,175,0,153.3,0
345,145,111,141,0,133.6,0
346,159,176,155,0,162.9,0
347,122,192,182,0,161.0,0
348,126,137,123,0,128.4,0
349,140,168,136,0,147.2,0
350,150,147,143,1,147.0,0
351,161,176,114,0,151.4,0
352,184,167,155,0,170.20000000000002,1
353,172,168,150,0,164.2,0
354,151,127,121,1,134.8,0
355,154,179,163,1,164.2,0
356,134,160,169,0,152.29999999999998,0
357,154,147,159,1,153.4,0
358,112,191,197,0,161.2,0
359,161,119,166,0,149.89999999999998,0
360,138,163,168,0,154.5,0
361,165,134,161,1,154.5,0
362,185,127,138,0,153.5,0
363,152,124,160,0,146.0,0
364,163,177,178,0,171.70000000000002,1
365,168,142,143,0,152.70000000000002,0
366,146,185,196,0,172.7,1
367,159,144,144,0,150.0,0
368,155,120,155,0,144.5,0
369,156,132,141,0,144.3,0
370,139,179,159,0,157.0,0
371,155,151,120,0,143.3,0
372,164,144,144,0,152.0,0
373,184,158,133,0,160.9,0
374,174,165,157,0,166.20000000000002,1
375,198,177,174,0,184.5,1
376,139,183,167,1,160.6,0
377,172,147,107,0,145.0,0
378,158,128,195,0,160.1,0
379,198,146,160,0,171.0,1
380,200,200,100,1,170.0,0
381,138,135,158,0,143.1,0
382,143,135,158,0,145.1,0
383,112,161,141,0,135.39999999999998,0
384,144,154,158,0,151.2,0
385,139,155,142,0,144.7,0
386,158,139,146,0,148.7,0
387,161,150,141,0,151.7,0
388,192,136,126,0,155.4,0
389,174,172,157,1,168.3,1
390,143,175,166,0,159.5,0
391,137,118,165,0,139.7,0
392,164,136,171,1,157.7,0
393,128,125,161,0,137.0,0
394,191,141,144,0,161.9,0
395,178,153,171,0,168.39999999999998,1
396,145,126,127,0,133.9,0
397,120,136,136,0,129.6,0
398,182,134,135,0,153.5,0
399,152,159,176,0,161.3,0
400,179,156,173,0,170.3,1
401,123,140,164,0,140.4,0
402,143,158,176,0,157.39999999999998,0
403,155,144,137,0,146.29999999999998,0
404,155,149,161,0,155.0,0
405,145,188,152,1,160.0,0
406,167,181,171,0,172.39999999999998,1
407,133,129,152,0,137.5,0
408,152,171,147,0,156.2,0
409,157,171,165,0,163.6,0
410,165,132,172,0,157.2,0
411,169,171,141,0,161.2,0
412,132,185,153,0,154.20000000000002,0
413,124,132,133,0,129.1,0
414,180,136,105,0,144.3,0
415,161,175,159,0,164.6,0
416,140,160,167,0,154.1,0
417,186,166,160,0,172.2,1
418,157,161,116,0,145.89999999999998,0
419,178,162,147,0,163.9,0
420,156,128,110,0,133.8,0
421,196,175,182,0,185.5,1
422,190,178,133,0,169.3,1
423,150,150,180,0,159.0,0
424,174,154,173,0,167.70000000000002,1
425,167,124,136,0,144.8,0
426,182,165,132,1,161.9,0
427,135,166,162,0,152.4,0
428,168,153,138,0,154.5,0
429,176,177,157,0,170.6,1
430,119,148,145,1,135.5,0
431,131,166,119,0,137.9,0
432,114,134,110,0,118.8,0
433,149,154,159,0,153.5,0
434,169,151,143,0,155.8,0
435,185,159,143,0,164.6,0
436,156,147,168,1,156.9,0
437,187,152,178,0,173.8,1
438,127,171,149,0,146.79999999999998,0
439,120,146,148,0,136.2,0
440,153,122,165,0,147.3,0
441,162,189,127,0,159.6,0
442,154,182,159,0,163.9,0
443,113,129,166,0,133.7,0
444,153,168,168,0,162.0,0
445,128,144,116,0,129.2,0
446,100,200,200,0,160.0,0
447,162,160,137,0,153.9,0
448,136,150,156,0,146.2,0
449,144,139,164,0,148.5,0
450,102,106,105,0,104.1,0
451,153,136,145,0,145.5,0
452,174,138,145,1,154.5,0
453,135,153,177,0,153.0,0
454,165,140,160,0,156.0,0
455,144,168,180,0,162.0,0
456,139,184,160,0,158.8,0
457,152,143,131,0,143.0,0
458,134,159,128,0,139.7,0
459,143,164,123,0,143.3,0
460,131,164,168,0,152.0,0
461,194,156,178,0,177.8,1
462,155,169,191,0,170.0,1
463,141,164,171,1,156.89999999999998,0
464,159,130,178,0,156.0,0
465,152,172,143,0,155.3,0
466,150,172,131,0,150.89999999999998,0
467,167,139,172,0,160.1,0
468,170,155,163,0,163.4,0
469,195,185,108,0,165.9,0
470,143,150,162,0,150.8,0
471,149,176,161,0,160.7,0
472,108,200,180,0,157.2,0
473,124,139,180,0,145.3,0
474,182,127,165,0,160.4,0
475,187,161,171,0,174.39999999999998,1
476,150,169,165,0,160.2,0
477,110,110,106,0,108.8,0
478,161,184,170,0,170.6,1
479,200,128,127,0,156.5,0
480,177,168,176,0,174.0,1
481,196,187,105,0,166.0,0
482,135,189,160,0,158.7,0
483,122,194,138,0,148.4,0
484,159,139,166,0,155.1,0
485,139,144,154,0,145.0,0
486,126,172,123,0,138.9,0
487,142,147,163,0,149.8,0
488,133,154,143,0,142.3,0
489,188,155,172,0,173.3,1
490,172,116,155,0,150.1,0
491,154,154,162,0,156.4,0
492,184,141,135,0,156.4,0
493,156,145,143,0,148.8,0
494,137,183,145,0,153.2,0
495,185,129,172,0,164.29999999999998,0
496,165,171,188,1,173.7,1
497,134,149,138,0,139.7,0
498,151,149,176,0,157.89999999999998,0
499,100,200,200,0,160.0,0
500,127,161,131,0,138.39999999999998,0
501,173,166,135,0,159.5,0
502,193,174,127,0,167.5,1
503,127,148,123,0,132.1,0
504,166,142,163,1,157.9,0
505,141,133,150,0,141.3,0
506,200,100,200,0,170.0,0
507,143,200,168,0,167.6,1
508,137,179,160,0,156.5,0
509,155,127,168,0,150.5,0
510,138,128,153,0,139.5,0
511,160,164,131,0,152.5,0
512,153,165,176,0,163.5,0
513,150,165,143,1,152.4,0
514,136,149,136,0,139.89999999999998,0
515,143,152,151,0,148.10000000000002,0
516,170,161,136,0,157.1,0
517,165,156,146,0,156.6,0
518,192,108,193,0,167.10000000000002,0
519,156,150,161,1,155.7,0
520,170,137,137,0,150.2,0
521,121,158,145,0,139.3,0
522,165,200,176,0,178.8,1
523,141,162,164,0,154.2,0
524,200,100,200,1,170.0,0
525,139,173,178,0,160.9,0
526,118,164,177,0,149.5,0
527,122,163,127,0,135.8,0
528,155,167,170,0,163.1,0
529,160,196,153,0,168.7,1
530,136,132,143,0,136.9,0
531,167,164,158,0,163.4,0
532,121,136,173,0,141.1,0
533,153,166,165,0,160.5,0
534,130,136,137,1,133.9,0
535,141,146,169,0,150.9,0
536,155,149,142,0,149.29999999999998,0
537,137,174,159,0,154.7,0
538,147,173,148,0,155.1,0
539,175,130,150,0,154.0,0
540,143,156,170,0,155.0,0
541,171,140,134,0,150.6,0
542,132,129,193,0,149.4,0
543,200,200,200,0,200.0,1
544,183,148,143,0,160.5,0
545,105,200,162,0,150.6,0
546,139,163,166,0,154.3,0
547,166,127,152,0,150.1,0
548,150,143,153,1,148.8,0
549,162,175,163,0,166.2,1
550,142,196,150,0,160.6,0
551,156,123,182,0,153.9,0
552,151,117,171,0,146.8,0
553,178,192,172,0,180.4,1
554,160,162,135,0,153.1,0
555,161,137,153,0,151.4,0
556,146,165,148,1,152.3,0
557,145,102,134,0,128.79999999999998,0
558,146,155,162,1,153.5,0
559,162,161,144,0,156.29999999999998,0
560,146,173,168,0,160.70000000000002,0
561,160,134,133,0,144.1,0
562,196,156,189,0,181.9,1
563,172,136,137,0,150.7,0
564,148,160,159,1,154.9,0
565,179,137,170,0,163.70000000000002,0
566,146,146,143,0,145.1,0
567,114,135,172,0,137.7,0
568,134,168,130,0,143.0,0
569,117,172,184,0,153.6,0
570,147,150,155,0,150.3,0
571,155,155,143,0,151.4,0
572,188,126,149,0,157.7,0
573,161,149,171,0,160.39999999999998,0
574,111,198,193,0,161.70000000000002,0
575,171,200,140,0,170.4,1
576,110,132,150,1,128.6,0
577,197,109,198,0,170.9,0
578,170,174,191,0,177.5,1
579,125,160,143,0,140.9,0
